"osite","lohko","koeala","paino","T"
1,43030,9,3.8595066773,10.9833333333333
1,43030,10,3.8595066773,10.9833333333333
1,43031,2,3.8595066773,11.11
1,43031,4,3.8595066773,11.11
1,43031,9,3.8595066773,11.11
1,43032,6,3.8595066773,11.17
1,43033,3,3.8595066773,11.17
1,43033,5,3.8595066773,11.17
1,43033,8,3.8595066773,11.1366666666667
1,43034,2,3.8595066773,11.1366666666667
1,43034,3,3.8595066773,11.1366666666667
1,43040,9,3.8595066773,11.0766666666667
1,43041,9,3.8595066773,11.0233333333333
1,43041,10,3.8595066773,11.0233333333333
1,43042,3,3.8595066773,11.22
1,43043,3,3.8595066773,11.22
1,43043,7,3.8595066773,11.22
1,43043,10,3.8595066773,11.0533333333333
1,43044,2,3.8595066773,11.0533333333333
1,43044,4,3.8595066773,11.0533333333333
1,43044,6,3.8595066773,11.0533333333333
1,43044,10,3.8595066773,11.0533333333333
1,43045,2,3.8595066773,11.1566666666667
1,43047,4,3.8595066773,11.21
1,43047,7,3.8595066773,11.21
1,43047,8,3.8595066773,11.21
1,43047,10,3.8595066773,11.21
1,43048,2,3.8595066773,11.2633333333333
1,43048,4,3.8595066773,11.2633333333333
1,43048,10,3.8595066773,11.2633333333333
1,43049,8,3.8595066773,11.1633333333333
1,43050,5,3.8595066773,11.1633333333333
1,43050,6,3.8595066773,11.1633333333333
1,43050,7,3.8595066773,11.1633333333333
1,43050,10,3.8595066773,11.1633333333333
1,43051,2,3.8595066773,11.2533333333333
1,43051,4,3.8595066773,11.2533333333333
1,43051,6,3.8595066773,11.2533333333333
1,43052,10,3.8595066773,11.59
1,43056,4,3.8595066773,11.7866666666667
1,43059,3,3.8595066773,11.6966666666667
1,43078,8,3.8595066773,12.16
1,43084,11,3.8595066773,11.9466666666667
1,43085,2,3.8595066773,11.68
1,43085,3,3.8595066773,11.68
1,43085,5,3.8595066773,11.68
1,43085,6,3.8595066773,11.68
1,43085,8,3.8595066773,11.68
1,43087,10,3.8595066773,11.4666666666667
1,43089,7,3.8595066773,11.16
1,43089,11,3.8595066773,11.16
1,43090,2,3.8595066773,11.16
1,43090,3,3.8595066773,11.16
1,43090,4,3.8595066773,11.16
1,43091,2,3.8595066773,11.15
1,43091,3,3.8595066773,11.15
1,43091,10,3.8595066773,11.15
1,44021,4,3.8595066773,12.0633333333333
1,44021,5,3.8595066773,12.0633333333333
1,44021,6,3.8595066773,12.0633333333333
1,44021,7,3.8595066773,12.0633333333333
1,44021,9,3.8595066773,12.0633333333333
1,44022,3,3.8595066773,11.8733333333333
1,44022,6,3.8595066773,11.8733333333333
1,44023,3,3.8595066773,11.8733333333333
1,44023,10,3.8595066773,11.5033333333333
1,44024,2,3.8595066773,11.5033333333333
1,44024,3,3.8595066773,11.5033333333333
1,44024,4,3.8595066773,11.5033333333333
1,44024,7,3.8595066773,11.5033333333333
1,44025,2,3.8595066773,11.27
1,44025,3,3.8595066773,11.27
1,44025,6,3.8595066773,11.27
1,44025,7,3.8595066773,11.27
1,44025,8,3.8595066773,11.27
1,44025,9,3.8595066773,11.27
1,44025,10,3.8595066773,11.27
1,44028,5,3.8595066773,11.0166666666667
1,44028,6,3.8595066773,11.0166666666667
1,44028,7,3.8595066773,11.0166666666667
1,44028,8,3.8595066773,11.0166666666667
1,44029,7,3.8595066773,11.1
1,44030,7,3.8595066773,11.1
1,44030,8,3.8595066773,11.1
1,44031,3,3.8595066773,11.2
1,44031,8,3.8595066773,11.2
1,44032,3,3.8595066773,11.1933333333333
1,44032,9,3.8595066773,11.1933333333333
1,44032,10,3.8595066773,11.1933333333333
1,44033,5,3.8595066773,11.1933333333333
1,44033,8,3.8595066773,11.19
1,44034,8,3.8595066773,11.19
1,44034,9,3.8595066773,11.19
1,44035,2,3.8595066773,11.1433333333333
1,44035,9,3.8595066773,11.1433333333333
1,44036,2,3.8595066773,11.0966666666667
1,44036,3,3.8595066773,11.0966666666667
1,44036,4,3.8595066773,11.0966666666667
1,44036,7,3.8595066773,11.0966666666667
1,44036,8,3.8595066773,11.0966666666667
1,44037,6,3.8595066773,11.0966666666667
1,44040,2,3.8595066773,11.08
1,44041,2,3.8595066773,10.9366666666667
1,44041,9,3.8595066773,10.9366666666667
1,44041,10,3.8595066773,10.9366666666667
1,44042,2,3.8595066773,10.9266666666667
1,44042,4,3.8595066773,10.9266666666667
1,44043,2,3.8595066773,10.9266666666667
1,44043,4,3.8595066773,10.9266666666667
1,44043,9,3.8595066773,10.97
1,44044,3,3.8595066773,10.97
1,44044,4,3.8595066773,10.97
1,44044,5,3.8595066773,10.97
1,44044,6,3.8595066773,10.97
1,44045,7,3.8595066773,11.2466666666667
1,44046,5,3.8595066773,10.9533333333333
1,44046,6,3.8595066773,10.9533333333333
1,44046,9,3.8595066773,10.9533333333333
1,44046,10,3.8595066773,10.9533333333333
1,44047,2,3.8595066773,10.9533333333333
1,44047,3,3.8595066773,10.9533333333333
1,44047,4,3.8595066773,10.9533333333333
1,44047,6,3.8595066773,10.9533333333333
1,44047,9,3.8595066773,10.9533333333333
1,44048,2,3.8595066773,10.9633333333333
1,44048,3,3.8595066773,10.9633333333333
1,44048,5,3.8595066773,10.9633333333333
1,44048,10,3.8595066773,10.9633333333333
1,44049,7,3.8595066773,11.2266666666667
1,44051,3,3.8595066773,11.2833333333333
1,44051,8,3.8595066773,11.2833333333333
1,44052,2,3.8595066773,11.39
1,44052,5,3.8595066773,11.39
1,44058,7,3.8595066773,11.55
1,44058,9,3.8595066773,11.55
1,44062,1,3.8595066773,11.6733333333333
