region year litter_type ground litter mortality
south 2015 coarse_woody_litter above 0.0730111489711922 natural
south 2016 coarse_woody_litter above 0.0730348133985698 natural
south 2017 coarse_woody_litter above 0.0730479638295638 natural
south 2018 coarse_woody_litter above 0.0730532700149251 natural
south 2019 coarse_woody_litter above 0.0730660638836944 natural
south 2020 coarse_woody_litter above 0.0730656447995468 natural
south 2021 coarse_woody_litter above 0.0730793373686993 natural
north 1990 fine_woody_litter above 0.00394806519499853 natural
north 1991 fine_woody_litter above 0.00394820949649877 natural
north 1992 fine_woody_litter above 0.00394843968518679 natural
north 1993 fine_woody_litter above 0.00394898246424326 natural
north 1994 fine_woody_litter above 0.003949570742766 natural
north 1995 fine_woody_litter above 0.00395037767336191 natural
north 1996 fine_woody_litter above 0.00395105474667429 natural
north 1997 fine_woody_litter above 0.00450846340723218 natural
north 1998 fine_woody_litter above 0.00506553402680962 natural
north 1999 fine_woody_litter above 0.00563724793509949 natural
north 2000 fine_woody_litter above 0.00619515231734656 natural
north 2001 fine_woody_litter above 0.00676845191277521 natural
north 2002 fine_woody_litter above 0.00677182909848796 natural
north 2003 fine_woody_litter above 0.00677516655731961 natural
north 2004 fine_woody_litter above 0.00677847649263677 natural
north 2005 fine_woody_litter above 0.00678224619772102 natural
north 2006 fine_woody_litter above 0.00678529133000882 natural
north 2007 fine_woody_litter above 0.00678666459110871 natural
north 2008 fine_woody_litter above 0.00718880576923613 natural
north 2009 fine_woody_litter above 0.00818429970491848 natural
north 2010 fine_woody_litter above 0.00862944574661799 natural
north 2011 fine_woody_litter above 0.00862714985968892 natural
north 2012 fine_woody_litter above 0.00862458054399509 natural
north 2013 fine_woody_litter above 0.00862322847430908 natural
north 2014 fine_woody_litter above 0.00862300099167991 natural
north 2015 fine_woody_litter above 0.00862236305844968 natural
north 2016 fine_woody_litter above 0.00862226371668705 natural
north 2017 fine_woody_litter above 0.00862309512096733 natural
north 2018 fine_woody_litter above 0.00862249116041739 natural
north 2019 fine_woody_litter above 0.00862087839909899 natural
north 2020 fine_woody_litter above 0.00862006571241803 natural
north 2021 fine_woody_litter above 0.0086187124457503 natural
north 1990 fine_woody_litter below 0.00679575575141427 natural
north 1991 fine_woody_litter below 0.00679600413580047 natural
north 1992 fine_woody_litter below 0.00679640035673991 natural
north 1993 fine_woody_litter below 0.00679733463561134 natural
north 1994 fine_woody_litter below 0.00679834723215089 natural
north 1995 fine_woody_litter below 0.00679973619179753 natural
north 1996 fine_woody_litter below 0.00680090162970939 natural
north 1997 fine_woody_litter below 0.00776036225758177 natural
north 1998 fine_woody_litter below 0.00871924101969873 natural
north 1999 fine_woody_litter below 0.00970332509342334 natural
north 2000 fine_woody_litter below 0.0106636390009033 natural
north 2001 fine_woody_litter below 0.0116504524982724 natural
north 2002 fine_woody_litter below 0.0116562656062373 natural
north 2003 fine_woody_litter below 0.0116620103328135 natural
north 2004 fine_woody_litter below 0.0116677076835049 natural
north 2005 fine_woody_litter below 0.0116741964302054 natural
north 2006 fine_woody_litter below 0.0116794379787201 natural
north 2007 fine_woody_litter below 0.0116818017560532 natural
north 2008 fine_woody_litter below 0.0123740023883027 natural
north 2009 fine_woody_litter below 0.016084273495276 natural
north 2010 fine_woody_litter below 0.01695910102337 natural
north 2011 fine_woody_litter below 0.0169545890095615 natural
north 2012 fine_woody_litter below 0.0169495396372505 natural
north 2013 fine_woody_litter below 0.0169468824693315 natural
north 2014 fine_woody_litter below 0.0169464354069127 natural
north 2015 fine_woody_litter below 0.0169451817025132 natural
north 2016 fine_woody_litter below 0.0169449864701613 natural
north 2017 fine_woody_litter below 0.0169466203953976 natural
north 2018 fine_woody_litter below 0.0169454334561339 natural
north 2019 fine_woody_litter below 0.016942263961484 natural
north 2020 fine_woody_litter below 0.0169406668211894 natural
north 2021 fine_woody_litter below 0.0169380073008907 natural
south 1990 fine_woody_litter above 0.00533510029700999 natural
south 1991 fine_woody_litter above 0.00533323355704674 natural
south 1992 fine_woody_litter above 0.00533195876998343 natural
south 1993 fine_woody_litter above 0.00533118003340723 natural
south 1994 fine_woody_litter above 0.00533075536387022 natural
south 1995 fine_woody_litter above 0.00533068459219168 natural
south 1996 fine_woody_litter above 0.00533099397937752 natural
south 1997 fine_woody_litter above 0.00608219931654646 natural
south 1998 fine_woody_litter above 0.00683451252710741 natural
south 1999 fine_woody_litter above 0.00760684420280378 natural
south 2000 fine_woody_litter above 0.00836166400707613 natural
south 2001 fine_woody_litter above 0.00913617542925161 natural
south 2002 fine_woody_litter above 0.00914011319791896 natural
south 2003 fine_woody_litter above 0.00914481240092052 natural
south 2004 fine_woody_litter above 0.00914987500652131 natural
