region peat_type year fine_root_litter_production litter_biomass total_below_ground_litter
south 4 2007 1.64510201181498 0.1073688992808 1.75247091109578
south 4 2008 1.65264463745656 0.109956264942667 1.76260090239923
south 4 2009 1.6602079278289 0.112550719278596 1.7727586471075
south 4 2010 1.66775055347148 0.115138084940803 1.78288863841228
south 4 2011 1.67529317911449 0.117725450603159 1.79301862971765
south 4 2012 1.67836417613642 0.118833925512323 1.79719810164875
south 4 2013 1.67534816307542 0.117929512802567 1.79327767587799
south 4 2014 1.67234039048608 0.117027571165436 1.78936796165152
south 4 2015 1.66933261789744 0.116125629528513 1.78545824742595
south 4 2016 1.66632484530879 0.115223687891589 1.78154853320038
south 4 2017 1.66403607949269 0.115843363202247 1.77987944269494
south 4 2018 1.66174731367659 0.116463038512904 1.77821035218949
south 4 2019 1.65945854786048 0.117082713823562 1.77654126168404
south 4 2020 1.65716978204438 0.11770238913422 1.7748721711786
south 4 2021 1.65716978204438 0.11770238913422 1.7748721711786
south 6 1990 0.433382240799178 0.0390467595485463 0.472429000347725
south 6 1991 0.436163053974441 0.0407565694917517 0.476919623466193
south 6 1992 0.438943867149703 0.0424663794349572 0.48141024658466
south 6 1993 0.441732298991062 0.0441808737888815 0.485913172779944
south 6 1994 0.444513112166349 0.0458906837321021 0.490403795898451
south 6 1995 0.447293925341636 0.0476004936753226 0.494894419016959
south 6 1996 0.450074738514169 0.0493103036168501 0.49938504213102
south 6 1997 0.452863170355279 0.0510247979706213 0.5038879683259
south 6 1998 0.455643983530156 0.05273460791359 0.508378591443746
south 6 1999 0.45816128480117 0.0542936941832656 0.512454978984435
south 6 2000 0.460323627764065 0.0556497512186443 0.51597337898271
south 6 2001 0.462491894954256 0.0570095234787775 0.519501418433033
south 6 2002 0.464654237917084 0.0583655805141135 0.523019818431197
south 6 2003 0.466816580879993 0.0597216375495015 0.526538218429495
south 6 2004 0.468978923842903 0.0610776945848895 0.530056618427793
south 6 2005 0.471147191033109 0.0624374668450319 0.533584657878141
south 6 2006 0.473309533996019 0.0637935238804199 0.537103057876439
south 6 2007 0.474997610516767 0.0650806061043532 0.54007821662112
south 6 2008 0.475817014263084 0.0662413531384885 0.542058367401572
south 6 2009 0.476638662951493 0.0674052803019402 0.544043943253433
south 6 2010 0.477458066697918 0.0685660273362283 0.546024094034146
south 6 2011 0.478277470444389 0.0697267743705827 0.548004244814972
south 6 2012 0.47924917591994 0.0707788672776938 0.550028043197634
south 6 2013 0.480431151089126 0.0716857326232517 0.552116883712378
south 6 2014 0.481609896818419 0.0725901201949951 0.554200017013415
south 6 2015 0.482788642547442 0.0734945077665306 0.556283150313973
south 6 2016 0.483967388276465 0.0743988953380661 0.558366283614532
south 6 2017 0.484364251953959 0.0753831424681245 0.559747394422083
south 6 2018 0.484761115631451 0.0763673895981831 0.561128505229634
south 6 2019 0.485157979308945 0.0773516367282415 0.562509616037186
south 6 2020 0.485554842986438 0.0783358838583 0.563890726844738
south 6 2021 0.485554842986438 0.0783358838583 0.563890726844738
south 7 1990 0.373433742040216 0.0196069339788748 0.393040676019091
south 7 1991 0.372643320294838 0.0193011109756886 0.391944431270527
south 7 1992 0.371852898549461 0.0189952879725025 0.390848186521963
south 7 1993 0.371060311265094 0.0186886270980899 0.389748938363183
south 7 1994 0.370269889519709 0.018382804094901 0.38865269361461
south 7 1995 0.369479467774324 0.0180769810917122 0.387556448866037
south 7 1996 0.368689046029722 0.0177711580888262 0.386460204118549
south 7 1997 0.367896458745426 0.0174644972144409 0.385360955959867
south 7 1998 0.367106037000158 0.0171586742112972 0.384264711211455
south 7 1999 0.367557114290693 0.0176192615207226 0.385176375811415
south 7 2000 0.369680527405153 0.0191122261293198 0.388792753534473
south 7 2001 0.37180975808979 0.0206092810519131 0.392419039141703
south 7 2002 0.373933171204183 0.0221022456604632 0.396035416864646
south 7 2003 0.376056584318658 0.0235952102690706 0.399651794587729
south 7 2004 0.378179997433133 0.025088174877678 0.403268172310811
south 7 2005 0.380309228117784 0.0265852298002815 0.406894457918066
south 7 2006 0.382432641232259 0.0280781944088888 0.410510835641148
south 7 2007 0.385148526227143 0.0294151822629015 0.414563708490044
south 7 2008 0.388949590660555 0.0304664810016188 0.419416071662174
south 7 2009 0.392761068970619 0.0315206600112657 0.424281728981885
south 7 2010 0.396562133404531 0.0325719587501213 0.429134092154653
south 7 2011 0.400363197838661 0.0336232574890371 0.433986455327698
south 7 2012 0.402409502288049 0.0339875809761088 0.436397083264158
south 7 2013 0.402069442108424 0.0334164640910822 0.435485906199506
south 7 2014 0.40173031105484 0.0328469076344803 0.43457721868932
south 7 2015 0.401391180001334 0.0322773511780094 0.433668531179343
south 7 2016 0.401052048947828 0.0317077947215386 0.432759843669366
south 7 2017 0.401498845763921 0.0332313250552818 0.434730170819202
south 7 2018 0.401945642580013 0.034754855389025 0.436700497969038
south 7 2019 0.402392439396106 0.0362783857227682 0.438670825118874
south 7 2020 0.402839236212199 0.0378019160565114 0.44064115226871
south 7 2021 0.402839236212199 0.0378634162914325 0.440702652503631
