region year month mean_T sd_T cv
north 1989 9 7.85814497272019 1.28217784239478 16.3165460403938
south 1989 9 10.5240340909091 0.710600862722978 6.75217180583643
north 1989 10 -0.0232268121590023 1.38110376651529 -5946.16151825209
south 1989 10 3.65886363636364 1.07081329764065 29.266280574066
north 1989 11 -3.78300857365549 1.23151847054609 -32.5539434174763
south 1989 11 -0.835795454545455 1.02433297154345 -122.557853835246
north 1989 12 -11.2924395946999 1.5188048158655 -13.4497493046441
south 1989 12 -7.11806818181818 1.46501079899436 -20.5815786189919
north 1990 1 -14.3784099766173 1.78719923041567 -12.4297417678455
south 1990 1 -7.61255681818182 2.82520255345707 -37.1124002215572
north 1990 2 -2.08472330475448 1.27399300320291 -61.1108918050374
south 1990 2 0.174204545454545 0.668578837069982 383.789547698359
north 1990 3 -4.83554169914263 1.58870312265992 -32.854708355459
south 1990 3 -0.672954545454545 1.33055931174504 -197.719046662552
north 1990 4 1.52260327357755 1.31410935210402 86.3067468005865
south 1990 4 4.65909090909091 0.91589915356256 19.6583232959769
north 1990 5 5.67895557287607 1.32022896671212 23.2477424725388
south 1990 5 8.66369318181818 0.736782332836257 8.5042523710614
north 1990 6 11.4853468433359 1.08434632769656 9.44112826967626
south 1990 6 13.4032954545455 0.72722610595956 5.42572614642272
north 1990 7 14.035931410756 0.848424051560825 6.0446580047453
south 1990 7 15.2401136363636 0.437580806975955 2.87124372833983
north 1990 8 12.742790335152 0.974023295985967 7.64372064805184
south 1990 8 14.7794318181818 0.678398706440009 4.5901541736228
north 1990 9 5.59524551831645 0.871860759424062 15.5821716235679
south 1990 9 7.54369318181818 0.795828376714308 10.5495856940791
north 1990 10 0.920187061574435 1.29785228658903 141.042222911548
south 1990 10 4.033125 0.97716358462642 24.228447782462
north 1990 11 -8.8240841777085 1.61467185822918 -18.2984639052762
south 1990 11 -3.61176136363636 1.83708041038178 -50.8638369322436
north 1990 12 -5.2074824629774 1.22726697123567 -23.5673759817901
south 1990 12 -2.54590909090909 1.34058325775776 -52.656367917641
north 1991 1 -11.1806703039751 1.80593591872519 -16.1523045544338
south 1991 1 -6.120625 2.52446824423393 -41.2452689755365
north 1991 2 -14.1890880748246 2.16774454362901 -15.2775466062205
south 1991 2 -9.1375 1.70328996435486 -18.6406562446496
north 1991 3 -7.72010911925175 1.63184504191232 -21.1375903721744
south 1991 3 -2.65732954545455 1.58874048620214 -59.787108035574
north 1991 4 0.442010911925175 1.29628221894173 293.269280003921
south 1991 4 2.75488636363636 0.736360909481453 26.7292661941046
north 1991 5 3.97272018706157 1.11955571424859 28.1810865485765
south 1991 5 6.79284090909091 0.757299064757004 11.1484881641127
north 1991 6 10.8754481683554 0.943140361794667 8.67219766206001
south 1991 6 12.5488636363636 0.602079836239052 4.79788332781278
north 1991 7 14.53226812159 0.935353512456839 6.43639041497742
south 1991 7 16.5686363636364 0.557265682675144 3.36337686726103
north 1991 8 13.3626656274357 1.07087440162309 8.01392799520789
south 1991 8 15.5450568181818 0.750386292149836 4.82716982592286
north 1991 9 5.2369446609509 1.20893992548226 23.0848329274259
south 1991 9 8.46011363636364 0.955175000789616 11.290332988957
north 1991 10 1.90483242400624 1.54783579950329 81.2583710774878
south 1991 10 5.05488636363636 0.677040838019439 13.3937894804106
north 1991 11 -1.87420109119252 2.29542651441682 -122.47493212995
south 1991 11 1.97454545454545 0.797016764426176 40.3645691007732
north 1991 12 -7.02829306313328 1.78539816737754 -25.4030125286437
south 1991 12 -3.03352272727273 1.54767374063213 -51.0190257260263
north 1992 1 -7.81231488698363 1.25591437772238 -16.0760849490962
south 1992 1 -4.03556818181818 1.88753329497393 -46.7724298025245
north 1992 2 -6.4335931410756 0.959906934361986 -14.9202306287199
south 1992 2 -3.72505681818182 1.28294116378856 -34.4408481912701
north 1992 3 -2.65081839438815 1.21995455296476 -46.0218080403936
south 1992 3 -0.12125 0.723638573926016 -596.815318701869
north 1992 4 -3.58830865159782 1.2650358191959 -35.2543758640328
south 1992 4 -0.0307954545454545 1.13052405662913 -3671.07442743039
north 1992 5 7.92330475448168 1.09855712624622 13.8648854270668
south 1992 5 10.4850568181818 0.679671941364688 6.48229144725367
north 1992 6 13.7116913484022 0.779707848489968 5.68644544774432
south 1992 6 15.4347727272727 0.540298650433768 3.50052870865457
north 1992 7 12.4795011691348 1.08725809824095 8.71235222870949
south 1992 7 15.0775568181818 0.858189155532283 5.69183167990058
north 1992 8 10.159158222915 1.18573156880515 11.6715533195517
south 1992 8 13.3402840909091 0.916879132666669 6.87301054774004
north 1992 9 9.15783320342946 0.983621241102567 10.7407638821617
south 1992 9 11.1091477272727 0.672881985024745 6.05700816609751
north 1992 10 -6.76812159002338 1.91007799602083 -28.2216855979125
south 1992 10 -1.67034090909091 1.38432953983011 -82.8770661303828
north 1992 11 -8.40070148090413 1.30319700753878 -15.5129546086254
south 1992 11 -4.00278409090909 1.95991616665201 -48.9638242318206
north 1992 12 -3.69922057677319 1.49690247535727 -40.4653478831751
south 1992 12 -0.777329545454545 1.00591922071484 -129.407048348667
north 1993 1 -8.16944660950896 1.55616691448924 -19.0486209026437
south 1993 1 -3.96017045454545 1.80507432517949 -45.5807229991234
north 1993 2 -8.24505066250974 1.45672256025508 -17.6678424412696
south 1993 2 -4.61568181818182 1.34353508182668 -29.1080523907499
north 1993 3 -5.38106001558846 1.71833504257703 -31.9330213303543
