region year tkg species component ddiff12 bm
1 2002 6 2 5 -5172.101358 0.0133787458875349
1 2002 6 2 1 -5172.101358 0.204724724797548
1 2002 7 2 5 -5172.101358 0
1 2002 7 2 1 -5172.101358 0
1 2002 1 3 5 -5172.101358 0.20414544886147
1 2002 1 3 1 -5172.101358 24.4331480676308
1 2002 2 3 5 -5172.101358 0.147781083283705
1 2002 2 3 1 -5172.101358 16.210841754711
1 2002 4 3 5 -5172.101358 0.112964783083381
1 2002 4 3 1 -5172.101358 7.99039540697222
1 2002 6 3 5 -5172.101358 0.0448661683924451
1 2002 6 3 1 -5172.101358 1.64479218350926
1 2002 7 3 5 -5172.101358 0.00738225460026457
1 2002 7 3 1 -5172.101358 0.736783063295547
1 2002 1 1 6 -5172.101358 0.645385579979897
1 2002 1 1 2 -5172.101358 0.506882229339311
1 2002 2 1 6 -5172.101358 1.7012054312346
1 2002 2 1 2 -5172.101358 1.51529014601665
1 2002 4 1 6 -5172.101358 2.63843603287366
1 2002 4 1 2 -5172.101358 2.68878255419321
1 2002 6 1 6 -5172.101358 2.09981816292524
1 2002 6 1 2 -5172.101358 2.59431045524987
1 2002 7 1 6 -5172.101358 0.842335546453594
1 2002 7 1 2 -5172.101358 1.16509829349541
1 2002 1 2 6 -5172.101358 2.27541525687498
1 2002 1 2 2 -5172.101358 2.66719997148608
1 2002 2 2 6 -5172.101358 1.73062128221095
1 2002 2 2 2 -5172.101358 2.12269073554991
1 2002 4 2 6 -5172.101358 0.312722026127864
1 2002 4 2 2 -5172.101358 0.385060431974588
1 2002 6 2 6 -5172.101358 0.0322937351060316
1 2002 6 2 2 -5172.101358 0.0378565189724894
1 2002 7 2 6 -5172.101358 0
1 2002 7 2 2 -5172.101358 0
1 2002 1 3 6 -5172.101358 2.40507398048445
1 2002 1 3 2 -5172.101358 3.97634815362269
1 2002 2 3 6 -5172.101358 1.78727439866048
1 2002 2 3 2 -5172.101358 2.75216631641366
1 2002 4 3 6 -5172.101358 1.04750210543993
1 2002 4 3 2 -5172.101358 1.45077084680316
1 2002 6 3 6 -5172.101358 0.277311107591617
1 2002 6 3 2 -5172.101358 0.32704192013311
1 2002 7 3 6 -5172.101358 0.0994472077536386
1 2002 7 3 2 -5172.101358 0.145864269419716
1 2002 1 1 7 -5172.101358 2.02394547896424
1 2002 1 1 3 -5172.101358 1.28691904169262
1 2002 2 1 7 -5172.101358 5.07766373535088
1 2002 2 1 3 -5172.101358 3.37762324435174
1 2002 4 1 7 -5172.101358 7.48608207769729
1 2002 4 1 3 -5172.101358 5.54521643720514
1 2002 6 1 7 -5172.101358 5.58434365003222
1 2002 6 1 3 -5172.101358 4.90098436304612
1 2002 7 1 7 -5172.101358 2.17771112894708
1 2002 7 1 3 -5172.101358 2.29096940901054
1 2002 1 2 7 -5172.101358 8.78970262320319
