region year peat_type litter_type ground litter_biomass mortality
north 2015 7 fine_woody_litter above 0.048643258379523 alive
north 2015 7 fine_woody_litter below 0.0415564049055048 alive
north 2015 7 non-woody_litter above 0.181011275247453 alive
north 2016 1 fine_woody_litter above 0.143512626414079 alive
north 2016 1 fine_woody_litter below 0.0998398531284819 alive
north 2016 1 non-woody_litter above 0.757514281413383 alive
north 2016 2 fine_woody_litter above 0.169389248804737 alive
north 2016 2 fine_woody_litter below 0.115462268499599 alive
north 2016 2 non-woody_litter above 0.706591073084291 alive
north 2016 4 fine_woody_litter above 0.136353562855604 alive
north 2016 4 fine_woody_litter below 0.0787617635103798 alive
north 2016 4 non-woody_litter above 0.581505401026438 alive
north 2016 6 fine_woody_litter above 0.0888316441913589 alive
north 2016 6 fine_woody_litter below 0.0449168303868441 alive
north 2016 6 non-woody_litter above 0.346564710990855 alive
north 2016 7 fine_woody_litter above 0.0475816402233191 alive
north 2016 7 fine_woody_litter below 0.0460589829011761 alive
north 2016 7 non-woody_litter above 0.152768572083584 alive
north 2017 1 fine_woody_litter above 0.142688197991722 alive
north 2017 1 fine_woody_litter below 0.099042026558249 alive
north 2017 1 non-woody_litter above 0.731283490558786 alive
north 2017 2 fine_woody_litter above 0.167357887792551 alive
north 2017 2 fine_woody_litter below 0.114171396392786 alive
north 2017 2 non-woody_litter above 0.69909742059887 alive
north 2017 4 fine_woody_litter above 0.137569788298808 alive
north 2017 4 fine_woody_litter below 0.0796542695243665 alive
north 2017 4 non-woody_litter above 0.582617081210222 alive
north 2017 6 fine_woody_litter above 0.0899881104088504 alive
north 2017 6 fine_woody_litter below 0.0455346900723956 alive
north 2017 6 non-woody_litter above 0.348683564727516 alive
north 2017 7 fine_woody_litter above 0.0492090505616268 alive
north 2017 7 fine_woody_litter below 0.0485498134070258 alive
north 2017 7 non-woody_litter above 0.153555983113313 alive
north 2018 1 fine_woody_litter above 0.141863769569365 alive
north 2018 1 fine_woody_litter below 0.098244199988016 alive
north 2018 1 non-woody_litter above 0.705052699704194 alive
north 2018 2 fine_woody_litter above 0.165326526780365 alive
north 2018 2 fine_woody_litter below 0.112880524285974 alive
north 2018 2 non-woody_litter above 0.691603768113451 alive
north 2018 4 fine_woody_litter above 0.138786013742012 alive
north 2018 4 fine_woody_litter below 0.0805467755383531 alive
north 2018 4 non-woody_litter above 0.583728761394005 alive
north 2018 6 fine_woody_litter above 0.0911445766263421 alive
north 2018 6 fine_woody_litter below 0.0461525497579471 alive
north 2018 6 non-woody_litter above 0.350802418464178 alive
north 2018 7 fine_woody_litter above 0.0508364608999346 alive
north 2018 7 fine_woody_litter below 0.0510406439128756 alive
north 2018 7 non-woody_litter above 0.154343394143042 alive
north 2019 1 fine_woody_litter above 0.141039341147007 alive
north 2019 1 fine_woody_litter below 0.097446373417783 alive
north 2019 1 non-woody_litter above 0.678821908849597 alive
north 2019 2 fine_woody_litter above 0.16329516576818 alive
north 2019 2 fine_woody_litter below 0.111589652179161 alive
north 2019 2 non-woody_litter above 0.684110115628031 alive
north 2019 4 fine_woody_litter above 0.140002239185216 alive
north 2019 4 fine_woody_litter below 0.0814392815523397 alive
north 2019 4 non-woody_litter above 0.58484044157779 alive
north 2019 6 fine_woody_litter above 0.0923010428438336 alive
north 2019 6 fine_woody_litter below 0.0467704094434985 alive
north 2019 6 non-woody_litter above 0.352921272200838 alive
north 2019 7 fine_woody_litter above 0.0524638712382423 alive
north 2019 7 fine_woody_litter below 0.0535314744187253 alive
north 2019 7 non-woody_litter above 0.155130805172771 alive
north 2020 1 fine_woody_litter above 0.14021491272465 alive
north 2020 1 fine_woody_litter below 0.09664854684755 alive
north 2020 1 non-woody_litter above 0.652591117995 alive
north 2020 2 fine_woody_litter above 0.161263804755994 alive
north 2020 2 fine_woody_litter below 0.110298780072349 alive
north 2020 2 non-woody_litter above 0.676616463142611 alive
north 2020 4 fine_woody_litter above 0.14121846462842 alive
north 2020 4 fine_woody_litter below 0.0823317875663264 alive
north 2020 4 non-woody_litter above 0.585952121761573 alive
north 2020 6 fine_woody_litter above 0.093457509061325 alive
north 2020 6 fine_woody_litter below 0.04738826912905 alive
north 2020 6 non-woody_litter above 0.3550401259375 alive
north 2020 7 fine_woody_litter above 0.05409128157655 alive
north 2020 7 fine_woody_litter below 0.056022304924575 alive
north 2020 7 non-woody_litter above 0.1559182162025 alive
north 2021 1 fine_woody_litter above 0.14021491272465 alive
north 2021 1 fine_woody_litter below 0.09664854684755 alive
north 2021 1 non-woody_litter above 0.652591117995 alive
north 2021 2 fine_woody_litter above 0.161263804755994 alive
north 2021 2 fine_woody_litter below 0.110298780072349 alive
north 2021 2 non-woody_litter above 0.676616463142611 alive
north 2021 4 fine_woody_litter above 0.14121846462842 alive
north 2021 4 fine_woody_litter below 0.0823317875663264 alive
north 2021 4 non-woody_litter above 0.585952121761573 alive
north 2021 6 fine_woody_litter above 0.093457509061325 alive
north 2021 6 fine_woody_litter below 0.04738826912905 alive
north 2021 6 non-woody_litter above 0.3550401259375 alive
north 2021 7 fine_woody_litter above 0.05409128157655 alive
north 2021 7 fine_woody_litter below 0.056022304924575 alive
north 2021 7 non-woody_litter above 0.1559182162025 alive
south 1990 1 fine_woody_litter above 0.180719889394702 alive
south 1990 1 fine_woody_litter below 0.11026538698159 alive
south 1990 1 non-woody_litter above 0.849980085249448 alive
south 1990 2 fine_woody_litter above 0.197816131260527 alive
south 1990 2 fine_woody_litter below 0.119848300534652 alive
south 1990 2 non-woody_litter above 0.802259379424254 alive
south 1990 4 fine_woody_litter above 0.143213798431923 alive
south 1990 4 fine_woody_litter below 0.0788400584837402 alive
south 1990 4 non-woody_litter above 0.631259796966751 alive
south 1990 6 fine_woody_litter above 0.0829402934289674 alive
south 1990 6 fine_woody_litter below 0.0390467595485463 alive
south 1990 6 non-woody_litter above 0.36918634493659 alive
south 1990 7 fine_woody_litter above 0.048751302184429 alive
south 1990 7 fine_woody_litter below 0.0196069339788748 alive
south 1990 7 non-woody_litter above 0.27310043731007 alive
