region tkg species component year bm
1 1 2 4 1998 5.14925090196077
1 1 2 5 1998 0.929551133988697
1 1 2 6 1998 2.34266623761452
1 1 2 7 1998 8.98693803858485
1 1 3 1 1998 22.666865377762
1 1 3 2 1998 3.760148832715
1 1 3 3 1998 5.04077353524777
1 1 3 4 1998 1.44781019872235
1 1 3 5 1998 0.195976822057954
1 1 3 6 1998 2.26258845240323
1 1 3 7 1998 7.7601416141469
1 2 1 1 1998 17.5389873298465
1 2 1 2 1998 1.43604651931055
1 2 1 3 1998 3.24315427321266
1 2 1 4 1998 1.26795607697053
1 2 1 5 1998 0.751222377940077
1 2 1 6 1998 1.60253607604186
1 2 1 7 1998 4.7827022673998
1 2 2 1 1998 16.3882695765336
1 2 2 2 1998 2.11180289583133
1 2 2 3 1998 5.63184571288066
1 2 2 4 1998 4.16138528800897
1 2 2 5 1998 0.735725722669076
1 2 2 6 1998 1.715834906025
1 2 2 7 1998 6.96131331505426
1 2 3 1 1998 15.6600968586195
1 2 3 2 1998 2.71927795474707
1 2 3 3 1998 3.54370315282473
1 2 3 4 1998 1.06663312067832
1 2 3 5 1998 0.156752924110551
1 2 3 6 1998 1.78695128789501
1 2 3 7 1998 6.09575598206393
1 4 1 1 1998 26.2702647874269
1 4 1 2 1998 2.59109936505641
1 4 1 3 1998 5.34259101811249
1 4 1 4 1998 2.289583496919
1 4 1 5 1998 1.18715477451116
1 4 1 6 1998 2.49195653665247
1 4 1 7 1998 7.0255335636102
1 4 2 1 1998 2.4698737264768
1 4 2 2 1998 0.38996605915006
1 4 2 3 1998 1.10769621392999
1 4 2 4 1998 0.929836492895127
1 4 2 5 1998 0.131901916123109
1 4 2 6 1998 0.318887170326971
1 4 2 7 1998 1.42050512859629
1 4 3 1 1998 7.75869364820405
1 4 3 2 1998 1.43971886265975
1 4 3 3 1998 1.93665311981676
1 4 3 4 1998 0.675428880461616
1 4 3 5 1998 0.116920582648955
1 4 3 6 1998 1.03395777672858
1 4 3 7 1998 3.49854801694812
1 6 1 1 1998 17.7767492227144
1 6 1 2 1998 2.41803625086431
1 6 1 3 1998 4.58508679421823
1 6 1 4 1998 2.15166793712814
1 6 1 5 1998 0.971596988049261
1 6 1 6 1998 1.89909130633691
1 6 1 7 1998 5.00766689844603
1 6 2 1 1998 0.157542794547816
1 6 2 2 1998 0.0324455909522514
1 6 2 3 1998 0.0907267416801304
1 6 2 4 1998 0.0840004029537697
1 6 2 5 1998 0.0131063934216554
1 6 2 6 1998 0.0283592926931129
1 6 2 7 1998 0.139021868664754
1 6 3 1 1998 1.46472760974705
1 6 3 2 1998 0.315747583050257
1 6 3 3 1998 0.432289631964822
1 6 3 4 1998 0.172170477123223
1 6 3 5 1998 0.0491625201188748
1 6 3 6 1998 0.277280770915808
1 6 3 7 1998 0.85854603981212
1 7 1 1 1998 5.99537746123037
1 7 1 2 1998 1.18552419845147
1 7 1 3 1998 2.0814941750015
1 7 1 4 1998 1.07779624312541
1 7 1 5 1998 0.46261732694134
1 7 1 6 1998 0.749786444542483
1 7 1 7 1998 1.83815278779159
1 7 2 1 1998 0.00641727269128342
1 7 2 2 1998 0.00131032059025796
1 7 2 3 1998 0.00306032373761578
1 7 2 4 1998 0.00317769429419361
1 7 2 5 1998 0.00052383720992604
1 7 2 6 1998 0.0010003407614827
